__IOTFsex,__IOTFage,__IOTF16_pre,__IOTF16,__IOTF16_nx,__IOTF16_nx2,__IOTF17_pre,__IOTF17,__IOTF17_nx,__IOTF17_nx2,__IOTF18_5_pre,__IOTF18_5,__IOTF18_5_nx,__IOTF18_5_nx2,__IOTF25_pre,__IOTF25,__IOTF25_nx,__IOTF25_nx2,__IOTF30_pre,__IOTF30,__IOTF30_nx,__IOTF30_nx2
2,13,13.65,13.92,14.2,14.48,14.56,14.85,15.14,15.43,15.93,16.26,16.57,16.88,22.14,22.58,22.98,23.34,27.24,27.76,28.2,28.57
2,13.5,13.92,14.2,14.48,14.75,14.85,15.14,15.43,15.72,16.26,16.57,16.88,17.18,22.58,22.98,23.34,23.66,27.76,28.2,28.57,28.87
2,14,14.2,14.48,14.75,15.01,15.14,15.43,15.72,15.98,16.57,16.88,17.18,17.45,22.98,23.34,23.66,23.94,28.2,28.57,28.87,29.11
2,14.5,14.48,14.75,15.01,15.25,15.43,15.72,15.98,16.22,16.88,17.18,17.45,17.69,23.34,23.66,23.94,24.17,28.57,28.87,29.11,29.29
2,15,14.75,15.01,15.25,15.46,15.72,15.98,16.22,16.44,17.18,17.45,17.69,17.91,23.66,23.94,24.17,24.37,28.87,29.11,29.29,29.43
2,15.5,15.01,15.25,15.46,15.63,15.98,16.22,16.44,16.62,17.45,17.69,17.91,18.09,23.94,24.17,24.37,24.54,29.11,29.29,29.43,29.56
2,16,15.25,15.46,15.63,15.78,16.22,16.44,16.62,16.77,17.69,17.91,18.09,18.25,24.17,24.37,24.54,24.7,29.29,29.43,29.56,29.69
2,16.5,15.46,15.63,15.78,15.9,16.44,16.62,16.77,16.89,17.91,18.09,18.25,18.38,24.37,24.54,24.7,24.85,29.43,29.56,29.69,29.84
2,17,15.63,15.78,15.9,16,16.62,16.77,16.89,17,18.09,18.25,18.38,18.5,24.54,24.7,24.85,25,29.56,29.69,29.84,30
2,17.5,15.78,15.9,16,,16.77,16.89,17,,18.25,18.38,18.5,,24.7,24.85,25,,29.69,29.84,30,
2,18,15.9,16,,,16.89,17,,,18.38,18.5,,,24.85,25,,,29.84,30,,
